No,Bird Name,Scientific_Name,Category,Family,Habitat,Diet,Gujarat_Region,Conservation_state,Population_Estimate,Migration,Breeding_season,Height_cm,Weight_kg,Lifespan_Years,Speed_kmph,Activity,Threats,is_rare,special_feature,
AN011,Cream-colored Courser,Cursorius cursor,Shorebirds & Waders,Glareolidae,"Open, sandy desert, barren salt pans, stony wastes","Insects, beetles, grasshoppers, snails",Little and Greater Rann of Kutch,Least Concern,Stable,Winter visitor / Partial resident,March to June,23-26,0.100-0.120,04-May,40,Diurnal,Disturbance from salt pan mining,Yes,Runs incredibly fast on the ground like a plover instead of flying away when approached.,
AN012,Sociable Lapwing,Vanellus gregarius,Shorebirds & Waders,Charadriidae,"Dry fallow fields, burnt grasslands, saline wastes","Beetles, grasshoppers, cricket larvae, spiders",Agricultural tracts of Kutch and North Gujarat,Critically Endangered,Extreme risk,Winter migrant,April to July,27-30,"0,150-0.250",05-Jul,45,Diurnal,"Intense agricultural cultivation shifts, hunting on wintering grounds",Yes,"Forms highly coordinated, tightly knit flocks that fly in unison during winter migrations.",
AN013,Greater Hoopoe-Lark,Alaemon alaudipes,Passerines (Perching Birds),Alaudidae,Arid Deserts & Barren Salt Pans,"Insects, beetles, small snails, plant seeds",Greater Rann of Kutch,Least Concern,Stable,Resident,March to July,19-23,0.035-0.050,03-Apr,30,Diurnal,Off-road vehicle driving in salt pans,No,"Performs an amazing vertical display flight, climbing high into the air and dropping vertically with closed wings.",
AN014,White-bellied Minivet,Pericrocotus erythropygius,Passerines (Perching Birds),Campephagidae,"Dry thorn scrub, Acacia woodlands","Tree canopy insects, cicadas, spiders","Gir, Kutch scrub patches",Least Concern,Stable,Resident,June to September,15,0.011-0.014,04-May,30,Diurnal,Loss of native Acacia scrub forests,Yes,"Displays distinct sexual dimorphism where males are deep black and white, while females are soft grey.",
AN015,Chestnut-bellied Sandgrouse,Pterocles exustus,Ground Birds,Pteroclidae,"Arid plains, dry fallow land, semi-desert scrub","Seeds, shoots, small insects","Kutch, Saurashtra grasslands",Least Concern,Locally common,Resident,January to May,31-33,0.140-0.240,05-Jul,60-70,Diurnal / Crepuscular,"Industrial land development, hunting",No,Can absorb water into its specialized breast feathers to carry it back over long distances to thirsty chicks.,
AN016,Short-toed Snake-Eagle,Circaetus gallicus,Raptors (Birds of Prey),Accipitridae,"Dry open country, rocky plains, thorn savanna","Snakes, lizards, chameleons","Kutch scrublands, Saurashtra open lands",Least Concern,Stable,Resident / Partial migrant,January to May,62-67,1.200-2.000,15-17,50,Diurnal,"Electrocution on power lines, reduction in large reptile populations",No,"Specializes in hunting snakes, which it swallows whole, starting from the head.",
AN017,Red Avadavat,Amandava amandava,Passerine Bird,Estrildidae,"Grasslands, wetlands, reed beds, agricultural fields","Seeds, small insects","Central Gujarat, South Gujarat, wetlands near Nal Sarovar",Least Concern,Stable,Resident / Local migrant,June–September,10–11,0.007-0.010,05-Aug,20-30,Diurnal,"Cage bird trade, habitat loss",No,"The only waxbill finch that changes its plumage color, with males turning bright red during the breeding season.",
AN018,Montagu's Harrier,Circus pygargus,Raptors (Birds of Prey),Accipitridae,"Large grasslands, crop fields, shallow marshes","Lizards, small rodents, large insects, small birds",Velavadar Blackbuck National Park roosting site,Least Concern,Stable,Winter migrant,May to August,43-47,0.230-0.440,Oct-14,40-50,Diurnal," Grassland conversion to industries, modern mechanical farming",No,"Relies on a highly sensitive, owl-like facial disc to locate small rodents in tall grass by sound alone.",
AN019,Sarus Crane,Antigone antigone,Crane / Wading Bird,Gruidae,"Wetlands, marshes, flooded fields","Roots, tubers, insects, fish, grains","North Gujarat, Kheda, wetlands",Vulnerable,Declining,Resident,June-October,150-180,05-Dec,25-40,40-50,Diurnal,"Wetland destruction, power lines, pesticide poisoning",Yes,"The tallest flying bird in the world, standing up to 1.8 metres (nearly 6 feet) tall.",
AN020,Asian Desert Warbler,Curruca nana,Passerine (Perching Bird),Sylviidae (Sylviid Warblers),"Arid desert, sandy plains, dry scrub","Insects, larvae, small berries"," Rann of Kutch, semi-arid zones",Least Concern,Stable,Winter migrant,May to July,11-Dec,0.007-0.011,02-Mar,25-30,Diurnal,"Habitat degradation, overgrazing",No,Known to follow desert lizards or foraging birds to snatch the insects they stir up.,
AN021,Common Emerald Dove,Chalcophaps indica,Dove / Pigeon,Columbidae,"Forests, wooded gardens, mangroves","Seeds, fruits, berries","Dang forest, Gir region, South Gujarat forests",Least Concern,Stable,Resident,March–July,23-27,0.12-0.17,Oct-15,40-50,Diurnal,"Deforestation, hunting",No,"Features iridescent, sparkling metallic-green wings that contrast sharply with its vinous-pink body.",
AN022,Indian Peafowl,Pavo cristatus,Large Ground Birds,Phasianidae,"Forest undergrowth, scrub, rural villages, agricultural land","Seeds, grain, berries, snakes, insects",State-wide,Least Concern,Increasing,Resident,April to September,100-115,4.0-6.0,15-20,16,Diurnal,"Poaching for feathers, accidental pesticide poisoning",No,"The national bird of India, famous for the male's spectacular train of iridescent feathers used in courtship displays.",
AN023,Indian Grey Hornbill,Ocyceros birostris,Arboreal Birds,Bucerotidae,"Urban parks, gardens, dry deciduous forests","Wild figs, berries, lizards, insects",Widespread in semi-urban and wooded zones,Least Concern,Stable,Resident,March to June,50-61,0.350-0.450,10-Dec,35-40,Diurnal,Cutting down old nesting trees with cavities,No,"Females lock themselves inside a tree hollow nest using mud and dung, leaving only a tiny slit for the male to feed them.",
AN024,Baya Weaver,Ploceus philippinus,Passerine (Perching Bird),Ploceidae (Weavers),"Grasslands, scrub, agricultural edges, near water","Seeds, grains, insects (especially for nestlings)",Widespread across wetlands and fields,Least Concern,Common / Stable,Resident / Local nomad,June to September,15,0.020-0.028,04-Jun,30-35,Diurnal,"Pesticide usage, loss of nesting trees",No,"Builds complex, hanging retort-shaped nests out of woven grass strips with a long entry tube at the bottom.",
AN025,Yellow-eyed Babbler,Chrysomma sinense,Passerines (Perching Birds),Paradoxornithidae,"Tall grasslands, reedbeds near swamps, thorny scrub","Insects, caterpillars, berries, flower nectar","Central wetlands, riverbanks, grasslands",Least Concern,Stable,Resident,June to September,18,0.018–0.023,4–5,20–25,Diurnal,Clearing of reedbeds along riverbanks and wetlands,No,"Possesses a prominent, bright orange-yellow ring around its eye that glows against its white face brow.",
AN026,Ultramarine Flycatcher,Ficedula superciliaris,Passerine Bird,Muscicapidae,"Himalayan forests, wooded areas","Insects, flies, beetles",Rare winter visitor in North Gujarat,Least Concern,Stable,Resident,December–April,55-75,1.2-1.8,15-20,50-60,Diurnal,"Forest loss, electrocution, poisoning",No,"The male displays a brilliant deep blue upperbody with a stark white belly, mimicking a miniature piece of the sky.",
AN027,Black-necked Stork,Ephippiorhynchus asiaticus,Wading & Wetland Birds,Ciconiidae,"Large freshwater wetlands, marshes, flooded fields","Fish, frogs, large water insects, rodents","Central wetlands, Thol, Nal Sarovar",Near Threatened,Declining,Resident,September to January,120-135,4.0-4.2,15-20,45-50,Diurnal,"Wetland drainage, pollution, collision with power lines",Yes,"Feeds on large water prey, including fish, frogs, and occasionally small waterbirds or turtles.",
AN028,Painted Stork,Mycteria leucocephala,Wading Bird,Ciconiidae,"Shallow freshwater wetlands, lakes, marshes","Small fish, frogs, snakes, aquatic insects","Abundant in Thol, Nal Sarovar, urban lakes",Near Threatened,Declining,Resident / Local nomad,August to January,93-102,2.5-3.5,15-20,45,Diurnal,"Wetland pollution, urban expansion drowning old wetlands",Yes,"Walks slowly through shallow water with its beak half-open, snapping it shut instantly when it touches a fish.",
AN029,White-eyed Buzzard,Butastur teesa,Raptors (Birds of Prey),Accipitridae,"Dry open country, dry deciduous wood edges, roadsides","Lizards, large insects, small crabs, rodents",Widespread across dry open plains,Least Concern,Stable,Resident,February to May,36-43,0.325-0.450,Dec-15,45-50,Diurnal,Secondary poisoning from pesticides used in agriculture,No,"Easily identified by its distinct white or pale yellowish iris, which gives it a piercing gaze.",
AN030,Crested Serpent Eagle,Spilornis cheela,Raptors (Birds of Prey),Accipitridae,"Forests, wetlands, open woodland","Snakes, lizards, frogs, small mammals","Gir Forest, Dang, Central Gujarat",Least Concern,Stable,Resident,December–April,55–75,1.2-1.8,15-20,50-60,Diurnal,"Wetland destruction, power lines, pesticide poisoning",No,"Has a striking black-and-white speckled crest that it raises into a full fan shape when excited or threatened. [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",
